;user;user_set;discarted;calibrate;fix_removed;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr
0;17;3;0;15;80;75.016;158.07533333333333;29.47142857142857;119.45071428571427;75.016
1;13;1;0;15;130;38.85166666666667;78.72599999999997;92.82;223.87;38.85166666666667
2;24;7;0;42;45;43.73633333333334;49.35033333333333;;;43.73633333333334
3;20;2;1;48;145;68.529;44.36683333333333;101.52000000000001;114.06;68.529
4;12;1;1;22;86;56.05316666666668;74.91316666666667;49.041428571428575;64.74714285714285;56.05316666666668
5;10;5;0;15;41;39.311;101.82483333333333;23.735;98.055;39.311
6;19;2;0;19;30;32.285333333333334;78.67399999999998;29.11;64.045;32.285333333333334
7;3;3;0;6;32;26.009999999999998;52.1995;;;26.009999999999998
8;5;5;1;2;57;43.70125;120.72925000000001;58.7125;100.685;43.70125
9;6;6;0;5;30;28.383249999999997;94.7535;31.994999999999997;114.89500000000001;28.383249999999997
10;16;8;0;5;39;23.760833333333334;52.38316666666666;;;23.760833333333334
11;14;6;0;26;48;34.3065;39.86616666666667;;;34.3065
12;21;4;1;4;6;11.396949152542375;42.89728813559322;;;11.396949152542375
13;23;7;0;34;25;40.14933333333333;54.590333333333334;20.52;19.54;40.14933333333333
14;15;8;0;29;8;23.846166666666665;42.66816666666667;;;23.846166666666665
15;18;3;1;18;9;30.889000000000003;58.91133333333334;66.07666666666667;97.98666666666666;30.889000000000003
16;26;6;0;19;12;29.3935;80.71283333333331;12.54;59.42;29.3935
17;22;4;0;10;54;21.408333333333335;51.427833333333325;;;21.408333333333335
18;7;7;0;3;37;33.818;88.4435;29.51;58.0525;33.818
19;4;4;0;5;32;24.103500000000004;66.31025;6.56;150.01;24.103500000000004
20;25;2;0;23;27;35.02633333333333;115.21216666666666;;;35.02633333333333
21;1;1;0;3;4;5.890000000000001;70.47049999999999;;;5.890000000000001
22;8;8;0;6;4;16.6595;51.0375;;;16.6595
23;9;5;0;12;29;26.539666666666665;62.96466666666665;;;26.539666666666665
