;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;711.1;False;False;26.18;149.9;;;18.8;1
1;711.2;False;False;16.85;31.67;;;;0
2;714.2;False;False;11.89;444.5;;;;0
3;714.1;False;False;15.89;43.56;;;;0
4;704.4;False;False;9.23;27.03;;;;0
5;704.1;False;False;13.93;43.21;;;11.46;1
6;709.1;False;True;14.53;9.3;;;;0
7;709.4;False;False;103.69;184.36;26.52;103.92;26.52;2
8;706.1;False;False;17.9;45.21;;;;0
9;706.3;False;False;60.2;107.75;;;15.06;1
10;716.3;False;False;15.2;182.09;;;;0
11;716.1;False;False;34.73;62.05;;;15.46;1
12;692.1;False;False;15.42;35.93;;;;0
13;692.2;False;False;78.27;183.39;;;25.79;1
14;693.3;False;False;24.03;64.97;;;19.14;1
15;693.1;False;False;12.06;18.68;;;;0
16;701.2;False;False;22.94;446.14;;;;0
17;701.1;False;False;10.84;55.56;;;;0
18;690.3;False;True;17.0;12.81;;;;0
19;690.1;False;False;17.83;50.81;;;;0
20;707.2;False;False;177.29;228.11;37.47;125.87;15.11;3
21;707.1;False;False;18.22;201.3;;;;0
22;696.1;False;False;14.32;203.13;;;;0
23;696.2;False;False;32.93;53.44;;;20.58;1
24;688.2;False;False;15.37;19.2;;;;0
25;688.1;False;False;18.02;44.18;;;;0
26;705.1;False;False;14.62;288.59;;;;0
27;705.4;False;False;71.46;134.14;;;17.03;14
28;682.3;False;True;55.91;41.99;;;20.46;3
29;682.1;False;False;11.78;18.54;;;;0
30;678.3;False;True;16.47;15.81;;;;0
31;678.1;False;False;23.78;26.34;;;18.7;1
32;700.2;False;False;17.76;53.52;;;;0
33;700.1;False;False;13.78;18.79;;;;0
34;703.1;False;False;20.32;42.65;;;;0
35;703.3;False;False;14.34;93.19;;;;0
36;681.1;False;True;16.71;8.51;;;;0
37;681.2;False;False;15.35;36.31;;;;0
38;689.3;False;False;18.21;22.28;;;;0
39;689.1;False;False;10.08;41.2;;;;0
